Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Salary_Bin
S00001,0.5454545454545454,0,0.79,0.21714285714285714,0.2902902902902903,0.98,0,0.75,0.7777777777777778,0.4,0.8888888888888888,0.7777777777777778,1.0,0.02894736842105263,0.3333333333333333,1.0,0,0.6666666666666666,0,Low
S00002,0.2727272727272727,2,0.26,0.4442857142857143,0.1111111111111111,0.815,4,1.0,0.7777777777777778,0.6,0.7777777777777778,0.0,0.8,0.0,0.0,0.0,2,0.6666666666666666,0,
S00003,0.9090909090909091,1,0.71,0.4185714285714286,0.7147147147147147,0.31499999999999995,6,1.0,0.8888888888888888,0.2,0.0,0.8888888888888888,0.0,0.22894736842105262,0.8888888888888888,0.5,0,0.6666666666666666,0,Low
S00004,0.6363636363636364,0,0.21500000000000008,0.8528571428571429,0.16916916916916916,0.405,2,0.75,1.0,0.2,1.0,0.5555555555555556,0.2,0.4263157894736842,0.6666666666666666,1.0,2,0.4444444444444444,0,Medium
S00005,0.36363636363636365,0,0.040000000000000036,0.16,0.5985985985985987,0.24,3,1.0,0.6666666666666666,0.8,1.0,0.8888888888888888,0.8,0.29736842105263156,0.8888888888888888,1.0,0,0.1111111111111111,0,Low
S00006,0.5454545454545454,0,0.19999999999999996,1.0,0.6306306306306306,0.8899999999999999,4,0.5,0.3333333333333333,0.4,0.1111111111111111,0.1111111111111111,0.2,0.5710526315789474,0.8888888888888888,0.25,0,0.7777777777777778,1,Medium
S00007,0.8181818181818182,0,0.17999999999999994,0.15857142857142856,0.6096096096096096,0.915,2,0.0,0.1111111111111111,0.6,0.2222222222222222,0.2222222222222222,0.4,0.40131578947368424,0.6666666666666666,0.75,2,0.2222222222222222,0,Medium
S00008,0.18181818181818182,0,0.3400000000000001,0.24857142857142858,0.23923923923923923,0.41999999999999993,2,0.25,0.5555555555555556,1.0,0.4444444444444444,0.0,0.4,0.17105263157894737,0.1111111111111111,0.5,0,0.2222222222222222,0,Low
S00009,0.5454545454545454,0,0.41999999999999993,0.43,0.33633633633633636,0.655,1,0.5,0.3333333333333333,0.0,0.4444444444444444,0.4444444444444444,0.4,0.5776315789473684,0.1111111111111111,0.25,0,0.1111111111111111,0,Medium
S00010,0.9090909090909091,0,0.51,0.7357142857142858,0.13713713713713713,0.16500000000000004,2,0.25,0.5555555555555556,0.6,1.0,0.1111111111111111,0.0,0.44605263157894737,0.3333333333333333,0.25,3,0.1111111111111111,0,Medium
S00011,0.9090909090909091,1,0.4750000000000001,0.3142857142857143,0.5935935935935935,0.43500000000000005,5,0.5,0.7777777777777778,1.0,0.7777777777777778,0.0,1.0,0.017105263157894738,0.8888888888888888,0.0,0,0.1111111111111111,0,Low
S00012,0.6363636363636364,1,0.27,0.24285714285714285,0.23523523523523523,0.6299999999999999,4,0.5,0.2222222222222222,0.6,0.1111111111111111,0.8888888888888888,1.0,0.13289473684210526,0.6666666666666666,0.75,2,0.5555555555555556,1,Low
S00013,0.36363636363636365,1,0.030000000000000027,0.45285714285714285,0.6476476476476476,0.385,3,0.5,0.0,1.0,0.1111111111111111,0.8888888888888888,0.4,0.23157894736842105,0.8888888888888888,0.75,3,0.7777777777777778,0,Low
S00014,0.2727272727272727,0,0.605,0.3028571428571429,0.7937937937937938,0.3600000000000001,0,0.0,0.4444444444444444,0.6,0.7777777777777778,0.5555555555555556,0.4,0.6776315789473685,0.3333333333333333,0.5,0,0.2222222222222222,0,High
S00015,0.6363636363636364,0,0.395,0.36,0.002002002002002002,0.0,1,0.25,0.2222222222222222,0.6,0.0,0.7777777777777778,0.2,0.475,0.8888888888888888,0.5,0,0.5555555555555556,1,Medium
S00016,0.6363636363636364,1,0.30000000000000004,0.1757142857142857,0.5705705705705706,0.8049999999999999,2,0.75,0.5555555555555556,0.4,0.8888888888888888,0.8888888888888888,0.6,0.125,0.6666666666666666,0.75,3,0.2222222222222222,0,Low
S00017,0.18181818181818182,1,0.865,0.9128571428571428,0.11511511511511512,0.8899999999999999,4,0.75,0.2222222222222222,0.6,0.1111111111111111,0.4444444444444444,0.6,0.9539473684210527,0.7777777777777778,1.0,2,0.8888888888888888,0,High
S00018,0.45454545454545453,0,0.7450000000000001,0.3028571428571429,0.47147147147147145,0.97,5,1.0,0.0,1.0,0.4444444444444444,0.1111111111111111,1.0,0.4842105263157895,0.0,1.0,3,0.0,0,Medium
S00019,0.36363636363636365,1,0.8600000000000001,0.89,0.13013013013013014,0.72,5,0.0,0.8888888888888888,1.0,0.2222222222222222,0.3333333333333333,1.0,0.09473684210526316,0.8888888888888888,0.25,0,0.6666666666666666,0,Low
S00020,0.09090909090909091,1,0.4950000000000001,0.12,0.933933933933934,0.55,5,0.0,0.4444444444444444,0.2,0.4444444444444444,0.2222222222222222,0.4,0.26973684210526316,0.7777777777777778,0.75,3,0.7777777777777778,0,Low
S00021,0.6363636363636364,1,0.1299999999999999,0.7357142857142858,0.8978978978978979,0.27,6,0.0,0.1111111111111111,1.0,0.7777777777777778,1.0,1.0,0.22631578947368422,0.0,0.25,0,0.8888888888888888,0,Low
S00022,1.0,0,0.6950000000000001,0.09142857142857143,0.4824824824824825,1.0,1,0.5,0.1111111111111111,0.2,0.7777777777777778,0.6666666666666666,0.6,0.1631578947368421,0.7777777777777778,1.0,3,0.4444444444444444,0,Low
S00023,0.45454545454545453,1,0.20500000000000007,0.45285714285714285,0.4004004004004004,0.5900000000000001,3,0.0,0.8888888888888888,1.0,0.5555555555555556,1.0,0.4,0.5855263157894737,0.4444444444444444,0.5,3,0.5555555555555556,0,Medium
S00024,0.09090909090909091,1,0.43999999999999995,0.4928571428571429,0.2002002002002002,0.6799999999999999,6,0.75,0.0,0.6,0.8888888888888888,1.0,0.4,0.30394736842105263,0.2222222222222222,0.75,2,0.4444444444444444,0,Low
S00025,1.0,1,0.06499999999999995,0.9014285714285715,0.2912912912912913,0.6799999999999999,3,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.5118421052631579,0.7777777777777778,0.0,2,1.0,0,Medium
S00026,0.36363636363636365,1,0.825,0.3457142857142857,0.34134134134134136,0.845,6,0.5,0.2222222222222222,0.2,0.1111111111111111,0.7777777777777778,0.8,0.30394736842105263,0.2222222222222222,0.25,0,0.4444444444444444,0,Low
S00027,0.0,1,0.125,0.19428571428571428,0.990990990990991,0.010000000000000009,0,0.25,1.0,0.4,0.0,0.4444444444444444,0.6,0.2578947368421053,0.7777777777777778,0.75,0,0.6666666666666666,0,Low
S00028,1.0,1,0.905,0.3514285714285714,0.6096096096096096,0.21999999999999997,3,0.0,0.6666666666666666,0.0,0.7777777777777778,0.1111111111111111,0.4,0.21052631578947367,0.4444444444444444,0.0,0,0.3333333333333333,0,Low
S00029,0.8181818181818182,0,0.865,0.6285714285714286,0.21521521521521522,0.665,6,0.25,0.0,0.6,0.0,0.8888888888888888,0.6,0.33289473684210524,0.7777777777777778,0.25,2,0.5555555555555556,0,Medium
S00030,0.45454545454545453,1,0.4650000000000001,0.06285714285714286,0.6356356356356356,0.895,5,1.0,0.1111111111111111,1.0,0.7777777777777778,0.0,0.0,0.175,0.2222222222222222,1.0,1,0.3333333333333333,0,Low
S00031,1.0,1,0.7450000000000001,0.9385714285714286,0.5845845845845846,0.685,3,0.5,0.5555555555555556,0.2,0.8888888888888888,0.4444444444444444,0.0,0.3223684210526316,1.0,0.25,3,0.1111111111111111,0,Low
S00032,0.7272727272727273,1,0.6200000000000001,0.9814285714285714,0.36536536536536535,0.41500000000000004,1,0.0,0.8888888888888888,0.2,0.0,0.2222222222222222,0.4,0.21710526315789475,0.5555555555555556,0.5,0,0.1111111111111111,0,Low
S00033,0.0,0,0.8049999999999999,0.79,0.8898898898898899,0.3600000000000001,3,1.0,0.8888888888888888,0.4,0.6666666666666666,0.7777777777777778,0.6,0.06315789473684211,0.5555555555555556,0.25,2,0.3333333333333333,0,Low
S00034,0.9090909090909091,0,0.42999999999999994,0.12571428571428572,0.6416416416416416,0.74,4,1.0,0.7777777777777778,1.0,0.4444444444444444,0.7777777777777778,0.6,0.2578947368421053,0.3333333333333333,0.25,0,0.4444444444444444,0,Low
S00035,0.9090909090909091,1,0.7849999999999999,0.3242857142857143,0.46846846846846846,0.74,3,0.25,0.2222222222222222,0.4,0.7777777777777778,0.0,0.6,0.0,0.4444444444444444,0.75,0,0.0,1,
S00036,0.8181818181818182,1,0.45999999999999996,0.4142857142857143,0.4174174174174174,0.605,6,0.75,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5960526315789474,0.6666666666666666,0.75,0,0.2222222222222222,0,Medium
S00037,1.0,1,0.94,0.6014285714285714,0.026026026026026026,0.29000000000000004,3,0.75,0.0,1.0,0.1111111111111111,1.0,0.2,0.4276315789473684,0.0,1.0,1,0.4444444444444444,0,Medium
S00038,1.0,1,0.4850000000000001,0.09428571428571429,0.6766766766766766,0.925,0,0.75,0.8888888888888888,0.8,0.6666666666666666,0.7777777777777778,0.2,0.23684210526315788,0.7777777777777778,0.5,0,0.7777777777777778,0,Low
S00039,0.18181818181818182,1,0.4650000000000001,0.35714285714285715,0.4544544544544545,0.55,2,0.75,0.4444444444444444,0.8,0.6666666666666666,0.8888888888888888,0.6,0.0,0.2222222222222222,0.5,0,0.3333333333333333,1,
S00040,1.0,1,0.7849999999999999,0.05714285714285714,0.9179179179179179,0.79,1,0.5,0.2222222222222222,1.0,0.7777777777777778,0.8888888888888888,0.6,0.33157894736842103,0.6666666666666666,1.0,0,0.5555555555555556,1,Medium
S00041,0.5454545454545454,1,0.8200000000000001,0.14,0.5795795795795796,0.21500000000000008,4,0.0,1.0,0.8,0.8888888888888888,0.1111111111111111,0.8,0.3736842105263158,0.8888888888888888,0.0,2,0.3333333333333333,0,Medium
S00042,0.2727272727272727,1,0.5549999999999999,0.4357142857142857,0.013013013013013013,0.345,5,0.0,1.0,0.0,0.5555555555555556,0.8888888888888888,0.4,0.4118421052631579,0.1111111111111111,0.25,0,0.4444444444444444,0,Medium
S00043,0.7272727272727273,1,0.17999999999999994,0.65,0.0970970970970971,0.875,6,0.5,0.4444444444444444,0.6,0.2222222222222222,0.7777777777777778,0.0,0.1763157894736842,1.0,0.75,3,0.6666666666666666,0,Low
S00044,0.18181818181818182,0,0.47,0.8428571428571429,0.2782782782782783,0.050000000000000044,5,0.25,0.2222222222222222,0.8,0.4444444444444444,0.8888888888888888,0.8,0.37105263157894736,1.0,1.0,0,0.7777777777777778,1,Medium
S00045,0.36363636363636365,0,0.97,0.42857142857142855,0.93993993993994,0.51,5,0.0,0.8888888888888888,0.8,0.2222222222222222,0.8888888888888888,0.6,0.7065789473684211,0.6666666666666666,1.0,0,1.0,1,High
S00046,0.18181818181818182,1,0.7549999999999999,0.28285714285714286,0.4894894894894895,0.48,3,1.0,0.0,1.0,1.0,0.2222222222222222,1.0,0.22631578947368422,0.0,0.75,2,1.0,0,Low
S00047,0.5454545454545454,0,0.81,0.94,0.984984984984985,0.75,3,0.0,0.0,0.2,0.8888888888888888,0.4444444444444444,0.2,0.5328947368421053,0.4444444444444444,0.75,0,0.7777777777777778,0,Medium
S00048,0.36363636363636365,0,0.03499999999999992,0.6957142857142857,0.960960960960961,0.28,3,0.5,0.2222222222222222,0.2,0.4444444444444444,0.2222222222222222,0.2,0.3263157894736842,0.6666666666666666,0.0,2,0.6666666666666666,1,Low
S00049,0.7272727272727273,0,0.47,0.15,0.8828828828828829,0.21999999999999997,1,0.25,0.5555555555555556,0.6,0.6666666666666666,0.5555555555555556,0.8,0.3013157894736842,0.4444444444444444,0.5,2,0.3333333333333333,1,Low
S00050,0.5454545454545454,0,0.645,0.5714285714285714,0.7587587587587588,0.925,4,0.0,0.1111111111111111,1.0,1.0,1.0,0.2,0.35526315789473684,0.4444444444444444,0.75,2,0.3333333333333333,0,Medium
S00051,0.09090909090909091,0,0.8300000000000001,0.68,0.6236236236236237,0.5700000000000001,2,0.5,0.0,0.4,0.6666666666666666,0.4444444444444444,0.2,0.2236842105263158,0.5555555555555556,1.0,3,0.1111111111111111,0,Low
S00052,0.2727272727272727,0,0.050000000000000044,0.17285714285714285,0.2062062062062062,0.10499999999999998,0,1.0,0.7777777777777778,0.0,0.6666666666666666,0.1111111111111111,1.0,0.35657894736842105,1.0,0.25,3,0.8888888888888888,0,Medium
S00053,0.7272727272727273,1,0.8500000000000001,0.10857142857142857,0.8638638638638638,0.19500000000000006,4,0.75,1.0,0.8,1.0,0.2222222222222222,0.4,0.5197368421052632,1.0,0.0,2,0.5555555555555556,1,Medium
S00054,1.0,1,0.55,0.4442857142857143,0.8458458458458459,1.0,0,1.0,0.8888888888888888,1.0,0.3333333333333333,0.6666666666666666,0.6,0.506578947368421,0.5555555555555556,0.25,1,0.2222222222222222,0,Medium
S00055,0.09090909090909091,0,0.19500000000000006,0.15857142857142856,0.23223223223223224,0.19500000000000006,5,1.0,1.0,1.0,0.3333333333333333,1.0,0.8,0.5552631578947368,1.0,0.25,0,0.2222222222222222,0,Medium
S00056,0.8181818181818182,0,0.31499999999999995,0.9728571428571429,0.5725725725725725,0.6100000000000001,4,0.25,0.0,0.0,0.2222222222222222,1.0,1.0,0.20526315789473684,0.1111111111111111,0.5,3,0.0,1,Low
S00057,0.7272727272727273,1,0.28,0.7385714285714285,0.5965965965965966,0.41999999999999993,6,0.0,0.2222222222222222,0.2,0.3333333333333333,0.4444444444444444,0.0,0.34078947368421053,1.0,0.25,0,0.1111111111111111,0,Medium
